1,1,389,586
1,2,937,1129
1,3,1466,1673
1,4,1994,2183
1,5,2542,2756
1,6,3083,3311
1,7,3668,3938
1,8,4107,4347
1,9,4731,4996
1,10,5369,5613
202,1111,417,633
202,2222,985,1218
202,3333,1573,1797
202,4444,2188,2423
202,5555,2744,2954
202,6666,3282,3552
202,7777,3926,4074
202,8888,4375,4641
202,9999,5030,5295
202,1010,5660,5950
3,1,448,645
3,2,1022,1239
3,3,1634,1866
3,4,2213,2437
3,5,2819,3043
3,6,3392,3623
3,7,3887,4121
3,8,4532,4832
3,9,5200,5480
3,10,5875,6165
404,1111,389,612
404,2222,948,1187
404,3333,1544,1775
404,4444,2090,2249
404,5555,2468,2669
404,6666,3038,3280
404,7777,3659,3915
404,8888,4272,4547
404,9999,4960,5225
404,1010,5648,5933
5,1,390,585
5,2,895,1086
5,3,1316,1524
5,4,1858,2060
5,5,2381,2597
5,6,2930,3185
5,7,3593,3866
5,8,4306,4591
5,9,4975,5265
5,10,5675,5955
606,1111,382,594
606,2222,984,1179
606,3333,1546,1779
606,4444,2121,2374
606,5555,2724,2971
606,6666,3314,3598
606,7777,4017,4306
606,8888,4705,4996
606,9999,5362,5548
606,1010,5938,6240
7,1,515,760
7,2,1187,1433
7,3,1692,1955
7,4,2290,2585
7,5,2920,3209
7,6,3569,3851
7,7,4218,4540
7,8,4918,5195
7,9,5575,5895
7,10,6276,6550
808,1111,442,719
808,2222,1070,1333
808,3333,1746,2050
808,4444,2358,2650
808,5555,3030,3301
808,6666,3644,3996
808,7777,4427,4752
808,8888,5096,5339
808,9999,5764,6110
808,1010,6500,6795
9,1,443,676
9,2,1075,1312
9,3,1643,1919
9,4,2280,2539
9,5,2887,3121
9,6,3501,3839
9,7,4187,4527
9,8,4876,5170
9,9,5365,5665
9,10,6025,6290
1010,1111,476,690
1010,2222,1024,1248
1010,3333,1608,1862
1010,4444,2224,2461
1010,5555,2835,2979
1010,6666,3230,3465
1010,7777,3847,4117
1010,8888,4497,4782
1010,9999,5140,5400
1010,1010,5805,6100
11,1,445,680
11,2,1062,1299
11,3,1529,1720
11,4,2143,2361
11,5,2719,2954
11,6,3324,3561
11,7,3966,4209
11,8,4570,4811
11,9,5185,5430
11,10,5785,6035
1212,1111,227,449
1212,2222,822,1031
1212,3333,1406,1629
