1,1,355,507
1,2,913,1052
1,3,1431,1593
1,4,1970,2134
1,5,2517,2667
1,6,3043,3237
1,7,3634,3824
1,8,4234,4449
1,9,4832,5029
1,10,5443,5604
202,1111,463,599
202,2222,1002,1173
202,3333,1556,1712
202,4444,2042,2201
202,5555,2642,2801
202,6666,3187,3446
202,7777,3862,4131
202,8888,4400,4612
202,9999,5060,5313
202,1010,5679,5936
3,1,451,624
3,2,973,1149
3,3,1527,1695
3,4,2137,2327
3,5,2698,2839
3,6,3119,3397
3,7,3810,4124
3,8,4502,4790
3,9,5200,5485
3,10,5936,6241
404,1111,464,653
404,2222,1009,1182
404,3333,1582,1766
404,4444,2208,2381
404,5555,2783,2971
404,6666,3390,3676
404,7777,4060,4333
404,8888,4704,4968
404,9999,5349,5493
404,1010,5811,6093
5,1,451,662
5,2,1053,1242
5,3,1650,1831
5,4,2194,2357
5,5,2729,2915
5,6,3163,3454
5,7,3848,4175
5,8,4539,4855
5,9,5212,5513
5,10,5994,6294
606,1111,418,578
606,2222,963,1050
606,3333,1369,1563
606,4444,1996,2169
606,5555,2559,2769
606,6666,3183,3448
606,7777,3809,4106
606,8888,4497,4748
606,9999,5151,5404
606,1010,5805,6062
7,1,443,662
7,2,1041,1266
7,3,1631,1865
7,4,2219,2436
7,5,2884,3083
7,6,3338,3615
7,7,4001,4266
7,8,4659,4965
7,9,5350,5675
7,10,6062,6410
808,1111,431,603
808,2222,1062,1262
808,3333,1674,1907
808,4444,2300,2486
808,5555,2888,3095
808,6666,3516,3736
808,7777,4104,4342
808,8888,4686,4905
808,9999,5277,5483
808,1010,5707,5926
9,1,378,552
9,2,930,1180
9,3,1518,1704
9,4,2118,2325
9,5,2678,2883
9,6,3274,3507
9,7,3872,4103
9,8,4305,4487
9,9,4862,5106
9,10,5512,5725
1010,1111,505,674
1010,2222,1066,1257
1010,3333,1654,1850
1010,4444,2227,2431
1010,5555,2818,2934
1010,6666,3247,3465
1010,7777,3810,4056
1010,8888,4403,4671
1010,9999,5085,5328
1010,1010,5719,5959
11,1,476,646
11,2,1012,1205
11,3,1572,1761
11,4,2122,2285
11,5,2551,2643
11,6,3057,3296
11,7,3667,3919
11,8,4306,4548
11,9,4966,5176
11,10,5600,5823
1212,1111,405,589
1212,2222,1017,1165
1212,3333,1397,1549
1212,4444,1947,2090
1212,5555,2502,2669
1212,6666,3018,3250
1212,7777,3702,3918
1212,8888,4315,4544
1212,9999,4905,5111
1212,1010,5601,5808
13,1,430,629
13,2,1045,1207
13,3,1648,1827
13,4,2235,2414
13,5,2666,2870
13,6,3276,3555
13,7,3945,4207
13,8,4590,4841
13,9,5223,5437
13,10,5872,6126
1414,1111,441,605
1414,2222,865,1029
1414,3333,1512,1677
1414,4444,2103,2291
1414,5555,2705,2901
1414,6666,3343,3551
1414,7777,3989,4193
1414,8888,4601,4863
1414,9999,5303,5473
1414,1010,5945,6159
15,1,440,624
15,2,1039,1222
